Country,Country Code,Year,Internet_Use_Share
United Arab Emirates,ARE,2017,94.8199
United Arab Emirates,ARE,2018,98.45
United Arab Emirates,ARE,2019,99.15
United Kingdom,GBR,2015,92.0003
United Kingdom,GBR,2016,94.7758
United Kingdom,GBR,2017,90.4246
United Kingdom,GBR,2018,90.692
United Kingdom,GBR,2019,92.5166
United States,USA,2015,74.5542
United States,USA,2016,85.5444
United States,USA,2017,87.2749
United States,USA,2018,88.4989
United States,USA,2019,89.4303
United States Virgin Islands,VIR,2015,54.8391
United States Virgin Islands,VIR,2016,59.6083
United States Virgin Islands,VIR,2017,64.3775
Upper-middle-income countries,OWID_UMC,2015,47.9
Upper-middle-income countries,OWID_UMC,2016,53.3
Upper-middle-income countries,OWID_UMC,2017,57.7
Upper-middle-income countries,OWID_UMC,2018,62.2
Upper-middle-income countries,OWID_UMC,2019,67.5
Uruguay,URY,2015,64.5708
Uruguay,URY,2016,66.4
Uruguay,URY,2017,70.3224
Uruguay,URY,2018,80.7268
Uruguay,URY,2019,83.3515
Uzbekistan,UZB,2015,42.8
Uzbekistan,UZB,2016,46.7913
Uzbekistan,UZB,2017,48.7
Uzbekistan,UZB,2018,55.2
Uzbekistan,UZB,2019,70.4
Vanuatu,VUT,2015,22.3514
Vanuatu,VUT,2016,24.0
Vanuatu,VUT,2017,30.8
Vanuatu,VUT,2018,33.989
Vanuatu,VUT,2019,37.5081
Venezuela,VEN,2015,58.0
Venezuela,VEN,2016,60.0
Venezuela,VEN,2017,61.6
Vietnam,VNM,2015,45.0
Vietnam,VNM,2016,53.0
Vietnam,VNM,2017,58.14
Vietnam,VNM,2018,69.8479
Vietnam,VNM,2019,68.6616
World,OWID_WRL,2015,39.9
World,OWID_WRL,2016,43.6
World,OWID_WRL,2017,46.3
World,OWID_WRL,2018,49.4
World,OWID_WRL,2019,53.9
Yemen,YEM,2015,24.0854
Yemen,YEM,2016,24.5792
Yemen,YEM,2017,26.7184
Zambia,ZMB,2015,8.8
Zambia,ZMB,2016,10.3
Zambia,ZMB,2017,12.2
Zambia,ZMB,2018,14.3
Zambia,ZMB,2019,18.7
Zimbabwe,ZWE,2015,22.7428
Zimbabwe,ZWE,2016,23.12
Zimbabwe,ZWE,2017,24.4
Zimbabwe,ZWE,2018,25.0
Zimbabwe,ZWE,2019,26.5883
